model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,method,vocab_size,watermark_method
facebook/opt-125m,0.9250129779148654,0.9537188818219571,0.5769648851606841,0.9800016611295681,0.9910000000000001,0.9910000000000001,0.9910000000000001,0.9927688088088088,0.996006006006006,0.9501330330330331,0.9985927427427427,0.9923092292292293,0.99595995995996,0.9464331831831831,0.9985925925925926,0.0011771562597277807,0.0010899648877966683,0.00125448717008112,0.0,0.0,1.0,0.0,Oracle,50272,gumbel
facebook/opt-125m,0.8851911562718994,0.8914024678775525,0.5898829179672993,0.9800664451827242,0.9925,0.9880000000000001,0.9902448876546328,0.988634994994995,0.9934154154154154,0.9384250250250251,0.9985927427427427,0.9876482282282282,0.9927037037037036,0.9347491491491492,0.9985925925925926,0.00015366248582722618,0.0001223531256982824,0.0002312830263690558,0.045,0.04,0.915,0.3807886552931954,WISER,50272,gumbel
facebook/opt-125m,0.771150525356266,0.7516556291390728,0.6181006123120352,0.9414312359574719,0.5016666666666666,0.9030000000000001,0.6449999999999999,0.9232476976976978,0.9251061061061061,0.8687695695695695,0.9838264764764765,0.9206996196196195,0.9234524524524524,0.8645526026026027,0.9833798798798798,0.0026571649899415207,0.0025548034460371126,0.002919782303069951,1.0,0.0,0.0,4.0,Kadane,50272,gumbel
facebook/opt-125m,0.7005563553719811,0.7355191256830601,0.3224166666666667,0.9164328249280758,0.387317949058863,0.9500000000000002,0.5502835759661583,0.9736629329329328,0.9842012012012012,0.8633913413413414,0.9941893893893894,0.9708653553553555,0.9816976976976977,0.8538364864864866,0.9940433933933934,0.020275758135103388,0.019544154508548673,0.02182935592063586,0.975,0.02,0.005,10.79791646568911,Aligator,50272,gumbel
facebook/opt-125m,0.4498073563333347,0.46345621137864906,0.12308333333333334,0.6976190476190476,0.78375,0.31200000000000006,0.4463244353182752,0.8996213313313314,0.9171171171171171,0.7781543543543543,0.9659843843843844,0.8864036936936938,0.9022162162162162,0.7528445945945946,0.9584297797797797,0.26439772086006996,0.25598486594499265,0.2743734913474327,0.0,1.0,0.0,3.0438462510448847,SeedBS,50272,gumbel
facebook/opt-125m,0.6619406934179126,0.6628895184135978,0.3360876383979776,0.8427450326921856,1.0,0.779,0.8757729061270377,0.948637047047047,0.9741921921921922,0.835851001001001,0.9879179179179179,0.9437906806806805,0.9695695695695696,0.8233918418418418,0.986966966966967,0.0028961035354586784,0.0023972476097696926,0.0043737941428844355,0.0,0.67,0.33,1.5116216457830975,WaterSeeker,50272,gumbel
google/gemma-3-270m,0.9004468817960296,0.9309203051452686,0.5634218289085545,0.9701021429671515,0.9890000000000001,0.9890000000000001,0.9890000000000001,0.9891536536536537,0.994058058058058,0.9259799799799799,0.9975657157157157,0.9885847147147147,0.9938818818818819,0.9206846846846847,0.9975495995995997,0.001181695634877542,0.0010972079591738293,0.001251126020360971,0.0,0.0,1.0,0.0,Oracle,262144,gumbel
google/gemma-3-270m,0.8598716940214566,0.8958054060543006,0.1774193548387097,0.9701021429671515,0.9640000000000001,0.965,0.9644997407983412,0.9771263663663663,0.9924014014014014,0.6855115115115116,0.9973840340340341,0.9758596096096097,0.9916776776776777,0.6712272272272273,0.9973655655655655,0.00014729121474374551,9.05016997421626e-05,0.00018881810356106144,0.105,0.05,0.845,0.714142842854285,WISER,262144,gumbel
google/gemma-3-270m,0.7614582985541173,0.7511910669975186,0.43820224719101125,0.9290604198668715,0.5111111111111111,0.92,0.6571428571428571,0.9175913913913913,0.9180750750750751,0.8615918418418418,0.9868358358358358,0.9152428528528529,0.9158618618618619,0.8571113113113112,0.9851126626626626,0.00272460042462626,0.0024007882191654064,0.003078752717556199,1.0,0.0,0.0,4.0,Kadane,262144,gumbel
google/gemma-3-270m,0.4788383693261886,0.49666666666666665,0.0,0.8311948581989396,0.27733593705857723,0.855,0.4188195718684796,0.9331751751751751,0.9703753753753754,0.18898898898898897,0.988411011011011,0.9267172072072072,0.964982982982983,0.17127127127127126,0.9876087587587589,0.02032009022535931,0.019695301026149536,0.02152562570918235,0.96,0.04,0.0,13.692516204116759,Aligator,262144,gumbel
google/gemma-3-270m,0.44468798671410315,0.47596153846153844,0.0,0.6976785714285714,0.75375,0.24400000000000002,0.36865948383863695,0.8471593093093094,0.8806186186186187,0.18898898898898897,0.9595127127127128,0.8334371571571572,0.8665335335335336,0.17127127127127126,0.9476946446446447,0.26960371228946317,0.26115474831130997,0.2851805624963163,0.0,1.0,0.0,3.4503622998172236,SeedBS,262144,gumbel
google/gemma-3-270m,0.6687986659529612,0.6570638265843745,0.31536388140161725,0.8548142717497557,1.0,0.792,0.8839285714285714,0.9536759659659659,0.9703483483483484,0.854336036036036,0.9887887887887888,0.9490320620620619,0.9648268268268267,0.8454609109109109,0.9878196196196196,0.002924216469982639,0.002261942376571824,0.00437486843111401,0.0,0.685,0.315,1.3928388277184118,WaterSeeker,262144,gumbel
