model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,method,vocab_size,watermark_method,contam_level,prf_type
facebook-opt-125m,0.34592,0.342,0.04585,0.59635,0.975,0.39,0.5571428571428572,0.9380413226452905,0.9679478957915831,0.7187486973947895,0.9916713426853707,0.8054470140280562,0.834440881763527,0.5424841683366733,0.8523472945891784,0.0002516785198895377,0.00021407565054687439,0.00028841457615271795,0.0,1.0,0.0,3.0,Oracle,50272,gumbel,low,skipgram
facebook-opt-125m,0.32354,0.332,0.0,0.56015,0.96,0.36599999999999994,0.5299547511312217,0.9131933066132265,0.9671583166332666,0.20340681362725455,0.9916825651302605,0.7753759519038076,0.8307454909819639,2.7755575615628914e-17,0.8515875751503007,0.0001382258200283104,3.8378124463633875e-05,0.0001986976000807774,0.0,1.0,0.0,3.2046840717924128,WISER,50272,gumbel,low,skipgram
facebook-opt-125m,0.06951,0.06,0.0,0.19615000000000005,0.21597097488854453,0.306,0.2532214299080752,0.7755580761523047,0.8524088176352705,0.20340681362725455,0.9229939879759519,0.5918479358717436,0.6660320641282566,2.7755575615628914e-17,0.7665486973947895,0.01032169108495509,0.009897472925058538,0.011181788548037731,0.715,0.225,0.06,5.0551953473629485,Aligator,50272,gumbel,low,skipgram
facebook-opt-125m,0.25082,0.241,0.0,0.6351500000000003,0.6141666666666666,0.17299999999999996,0.2699576540334533,0.7273884168336673,0.762312625250501,0.20340681362725455,0.9228831663326653,0.585675871743487,0.6483567134268537,2.7755575615628914e-17,0.8015721442885773,0.07384544727989123,0.037276971877690815,0.07986171769834982,0.0,1.0,0.0,3.6742346141747673,SeedBS,50272,gumbel,low,skipgram
facebook-opt-125m,0.24588000000000002,0.252,0.0,0.34005,0.97,0.29100000000000004,0.44769230769230767,0.8091969939879761,0.7611462925851704,0.20340681362725455,0.9772350701402807,0.6621504208416834,0.6110300601202405,2.7755575615628914e-17,0.8394352705410822,0.0016637770749912306,0.0008193892483177479,0.0027333326247571677,0.0,1.0,0.0,3.588175023601831,WaterSeeker,50272,gumbel,low,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.34275,0.342,0.196,0.5026000000000002,1.0,0.4,0.5714285714285715,0.9477066933867735,0.9617795591182365,0.7912549098196393,0.9885877755511022,0.8156748697394789,0.829442885771543,0.6458270541082164,0.8493637274549097,0.0002669110549140896,0.00022234309808482066,0.0006106798773544142,0.0,1.0,0.0,3.0,Oracle,32000,gumbel,low,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.31714,0.33,0.17915,0.39420000000000005,0.98,0.37799999999999995,0.5455670103092783,0.9307078557114228,0.9629458917835672,0.6799074148296593,0.9890164328657315,0.7922734669338678,0.8275951903807616,0.516537274549098,0.8494791583166333,0.00013337584494365728,8.76409492775565e-05,0.00016700385149306387,0.0,1.0,0.0,3.132091952673165,WISER,32000,gumbel,low,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.028820000000000002,0.01,0.0,0.21445000000000008,0.17210053957480426,0.179,0.17548247929893335,0.6473737875751503,0.6469819639278558,0.20340681362725455,0.9411923847695391,0.45205651302605204,0.4495911823647295,2.7755575615628914e-17,0.7906134268537074,0.010369875590022275,0.009832027423544786,0.011837756252498366,0.39,0.55,0.06,4.34856298103178,Aligator,32000,gumbel,low,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.13581,0.0,0.0,0.5199000000000005,0.38916666666666666,0.10399999999999998,0.16413653261236902,0.6161553507014028,0.6562404809619238,0.20340681362725455,0.9000346693386774,0.4465335871743486,0.4575551102204408,2.7755575615628914e-17,0.788176352705411,0.07742524773007972,0.059494403498320025,0.0825265034516633,0.0,1.0,0.0,3.9918667312424145,SeedBS,32000,gumbel,low,skipgram
princeton-nlp-Sheared-LLaMA-1-3B,0.25759,0.269,0.168,0.35605,0.995,0.30700000000000005,0.46922427035330266,0.8310305010020039,0.8831743486973949,0.6735995991983968,0.9700991983967936,0.6864901002004008,0.7517955911823647,0.5121188376753507,0.8373735470941884,0.001693125630281429,0.0009025968760397518,0.002707945174097404,0.0,1.0,0.0,3.502142201567492,WaterSeeker,32000,gumbel,low,skipgram
facebook-opt-125m,0.3589,0.352,0.1617,0.5906500000000001,0.99,0.396,0.5657142857142856,0.9175939078156312,0.9390140280561122,0.7151599198396793,0.9795276553106212,0.7937317835671343,0.8158476953907816,0.5379833667334669,0.8454675350701403,0.00024868396496458445,0.00022381562357622897,0.00028794270192520347,0.0,1.0,0.0,3.0,Oracle,50272,gumbel,med,skipgram
