model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,method,vocab_size,watermark_method
facebook/opt-125m,0.9533379779160902,0.9821958456973294,0.6813102208707195,0.9930071674832154,0.991,0.991,0.991,0.9920131700680273,0.9975631852741096,0.9198202160864346,0.9989494757903161,0.9909885778311325,0.9975566226490595,0.9094054261704682,0.9989482032813126,0.0059049591799703195,0.0028299208506268768,0.008925696475034784,0.0,0.0,1.0,0.0,Oracle,50272,gumbel
facebook/opt-125m,0.9310771905540919,0.978,0.5429000953317246,0.9920483300099701,0.929478452103452,0.9840000000000001,0.9559624733316293,0.9838273133253301,0.9967036414565826,0.8610621928771508,0.9987787034813926,0.982221706282513,0.9966844337735095,0.8465518367346939,0.9987771348539416,0.00018669312496967904,0.00013873959969714633,0.0002879697759908595,0.285,0.035,0.68,1.3095800853708794,WISER,50272,gumbel
facebook/opt-125m,0.742629659805086,0.687375498007968,0.5188306331006979,0.9900741804437434,0.875,0.875,0.875,0.9134527154861946,0.8729603841536615,0.8618167266906762,0.9986984073629452,0.9027655094037615,0.858586474589836,0.8473177110844337,0.998696830732293,0.004092826610030897,0.0038342711508448702,0.004438870826015772,0.0,0.0,1.0,0.0,Kadane_6,50272,gumbel
facebook/opt-125m,0.8016438362026723,0.7924528301886793,0.5372670375656317,0.985192266647695,0.6628571428571428,0.9280000000000002,0.7733333333333334,0.9440036846738695,0.9623081232492997,0.8608681392557023,0.9951321168467386,0.9368683505402161,0.9562561024409765,0.846452356942777,0.9951060264105642,0.007465581229998861,0.005132711449778071,0.04827375834997838,1.0,0.0,0.0,2.0,Kadane_8,50272,gumbel
facebook/opt-125m,0.825256028101411,0.884443262794802,0.5340399822143346,0.9790862565594906,0.5277777777777777,0.95,0.6785714285714285,0.9532392909163664,0.9690232893157262,0.8618559023609443,0.9923920688275311,0.9475725138055222,0.9673603841536615,0.8461643137254902,0.9923567827130853,0.00933419317500011,0.006412668350048989,0.05257292742548998,1.0,0.0,0.0,4.0,Kadane_10,50272,gumbel
facebook/opt-125m,0.8423777603521274,0.9048287180176547,0.6047820693392646,0.9655718251661211,0.34892857142857137,0.9770000000000002,0.5142105263157895,0.9526635774309723,0.9577600640256102,0.8739724289715887,0.9789877230892358,0.9486094005602241,0.9563186874749899,0.85876393757503,0.9789456902761104,0.014987516035034787,0.009799334700164763,0.058908887173583946,1.0,0.0,0.0,9.0,Kadane_15,50272,gumbel
facebook/opt-125m,0.8423097611373008,0.8780727630285152,0.593333559181711,0.9531746312398576,0.2552631578947368,0.9700000000000002,0.4041666666666666,0.946779012404962,0.9480484993997599,0.9128662665066026,0.9693963025210085,0.9440611204481791,0.9457635854341737,0.9040582633053221,0.9667590476190477,0.021023704984963844,0.013101252799469876,0.06430626457486142,1.0,0.0,0.0,14.0,Kadane_20,50272,gumbel
google/gemma-3-270m,0.942924681736786,0.9773286838034683,0.5049683830171635,0.9930143199656465,0.991,0.991,0.991,0.9912362657062826,0.9966242496998801,0.9360089635854342,0.9989954381752701,0.9904263737494997,0.9966026410564226,0.9277438975590236,0.9989941576630653,0.005688457444966844,0.0028211794747221575,0.008640065624331329,0.0,0.0,1.0,0.0,Oracle,262144,gumbel
google/gemma-3-270m,0.9097110740811252,0.977,0.0,0.9910599601593626,0.8580350899100899,0.96,0.9061581824082643,0.9578792525010005,0.9954804321728692,0.11164465786314526,0.9987870988395358,0.955812587434974,0.9954410564225691,0.07579031612645058,0.9987805202080832,0.00018042313005935283,5.402012648119126e-05,0.00027492187527968783,0.4,0.045,0.555,1.7776388834631178,WISER,262144,gumbel
google/gemma-3-270m,0.7184150751709086,0.6839764411223732,0.32176121930567314,0.9890219560878244,0.852,0.852,0.852,0.9090858103241297,0.8727692677070829,0.8539652661064425,0.9984875230092037,0.8975858279311724,0.8580533013205283,0.837666906762705,0.998479943977591,0.004054524339971976,0.0035543455246170195,0.0044083729246267465,0.0,0.0,1.0,0.0,Kadane_6,262144,gumbel
