model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type,gap
simulation,0.934375,0.934375,0.934375,1.0,0.3333333333333333,0.5,0.9272892892892894,0.9272892892892892,0.9272892892892892,0.9269089089089092,0.926908908908909,0.926908908908909,0.0001023182877892,7.574897429094563e-05,0.0001753340506638,0.0,1.0,0.0,WISER,1000,1000,1.0,gumbel,10
simulation,0.9124130674538752,0.9063444108761328,0.9174311926605504,1.0,0.3333333333333333,0.5,0.9161374506506508,0.9132552552552552,0.9185045045045044,0.91533394994995,0.9123243243243244,0.9178018018018018,0.0235310770296118,0.0219529169749648,0.0253054451247407,0.0,1.0,0.0,Aligator,1000,1000,1.0,gumbel,10
simulation,0.7739174113867229,0.2457843300110742,0.9314641744548288,0.8234666666666666,0.3555333333333333,0.4966409650362832,0.9374444536536536,0.9196136136136136,0.9721821821821822,0.932536655855856,0.9137497497497498,0.9602122122122122,0.2320701811533996,0.2242324302247425,0.2434169066504637,0.0,0.9958,0.0042,SeedBS_NOT,1000,1000,1.0,gumbel,10
simulation,0.977198697068404,0.977198697068404,0.977198697068404,1.0,1.0,1.0,0.9964904904904908,0.9964904904904904,0.9964904904904904,0.9964804804804804,0.9964804804804804,0.9964804804804804,0.0064829578232003,0.0057959107248962,0.007114526050168,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,10
simulation,0.879411764705882,0.8794117647058823,0.8794117647058823,1.0,0.3333333333333333,0.5,0.9147367367367368,0.9147367367367368,0.9147367367367368,0.9131751751751752,0.9131751751751752,0.9131751751751752,0.0001007449537881,7.012290009242861e-05,0.000177262499983,0.0,1.0,0.0,WISER,1000,1000,1.0,gumbel,20
simulation,0.8789935837467289,0.8522727272727273,0.9174311926605504,0.8201799999999999,0.7840666666666666,0.8017168581722677,0.9595520572572572,0.8990970970970971,0.9893953953953954,0.9584906674674676,0.8964424424424424,0.9891651651651652,0.0233180529072034,0.0216784458502161,0.0253090916746259,0.5418,0.3444,0.1138,Aligator,1000,1000,1.0,gumbel,20
simulation,0.5834252726847502,0.2766666666666666,0.9221183800623052,0.7753833333333333,0.5281333333333333,0.6283092420929708,0.9669815399399398,0.9126586586586588,0.9937317317317316,0.956050416016016,0.911011011011011,0.9909009009009008,0.2329591584637975,0.22484595209919,0.2447805940742682,0.0008,0.7732,0.226,SeedBS_NOT,1000,1000,1.0,gumbel,20
simulation,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,0.9933593593593592,0.9933593593593594,0.9933593593593594,0.9932992992992992,0.9932992992992992,0.9932992992992992,0.0069576380317948,0.0064503621754511,0.0076835451750184,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,20
simulation,0.8305555555555555,0.8305555555555556,0.8305555555555556,1.0,0.3333333333333333,0.5,0.901783783783784,0.9017837837837838,0.9017837837837838,0.8982402402402404,0.8982402402402402,0.8982402402402402,0.0001017356650052,6.791497526137391e-05,0.0001826701749905,0.0,1.0,0.0,WISER,1000,1000,1.0,gumbel,30
simulation,0.9373527620904069,0.9146341463414634,0.9523809523809524,0.99845,1.0,0.9992243989091544,0.99142132012012,0.9877117117117116,0.9932572572572572,0.9913021145145146,0.9874774774774776,0.9931951951951952,0.0230595775178013,0.0214352788502083,0.0248697375000574,0.0062,0.0,0.9938,Aligator,1000,1000,1.0,gumbel,30
simulation,0.6191659222859621,0.2909090909090909,0.9801980198019802,0.8423333333333334,0.694,0.7610058581037101,0.9795575527527528,0.943948048048048,0.9972992992992992,0.9696839951951952,0.9211551551551552,0.9972992992992992,0.2333263593898034,0.2252898721998235,0.2452412031253743,0.0034,0.4746,0.522,SeedBS_NOT,1000,1000,1.0,gumbel,30
simulation,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,1.0,0.9925245245245246,0.9925245245245246,0.9925245245245246,0.9924324324324324,0.9924324324324324,0.9924324324324324,0.0071445532791976,0.0064407312503362,0.0078597531246259,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,30
simulation,0.8764705882352942,0.8764705882352941,0.8764705882352941,1.0,0.6666666666666667,0.8,0.9631471471471472,0.9631471471471472,0.9631471471471472,0.9615855855855856,0.9615855855855856,0.9615855855855856,0.0001406469250017,0.0001118739746743,0.000225528124929,0.0,1.0,0.0,WISER,1000,1000,1.0,gumbel,40
simulation,0.9213560566049108,0.8982035928143712,0.9345794392523364,0.99995,1.0,0.9999749993749844,0.9886939675675676,0.9848888888888888,0.991013013013013,0.9884617469469468,0.9844884884884886,0.9908728728728728,0.0234608374427969,0.02146837435007,0.0255519819000483,0.0002,0.0,0.9998,Aligator,1000,1000,1.0,gumbel,40
simulation,0.6277179808224829,0.2911764705882353,0.9801980198019802,0.8515833333333332,0.7516666666666666,0.7985115303983228,0.9810432516516516,0.9371071071071072,0.9972632632632632,0.9710190994994996,0.9163143143143144,0.9972612612612614,0.2336280498605991,0.2256747934253326,0.2447977701998524,0.0388,0.347,0.6142,SeedBS_NOT,1000,1000,1.0,gumbel,40
simulation,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,1.0,0.9923643643643644,0.9923643643643644,0.9923643643643644,0.9922722722722724,0.9922722722722724,0.9922722722722724,0.0070972825853918,0.0064301617999717,0.0077725562492105,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,40
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9986046046046048,0.9986046046046048,0.9986046046046048,0.9986046046046048,0.9986046046046048,0.9986046046046048,0.0001801498904011,0.0001458330006926,0.0002988055247442,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,50
simulation,0.918484215053612,0.9009009009009008,0.9375,1.0,1.0,1.0,0.9873394190190192,0.9844004004004004,0.9911451451451452,0.9870967475475476,0.984032032032032,0.991013013013013,0.0231944840465916,0.0216460263746967,0.0252119214753747,0.0,0.0,1.0,Aligator,1000,1000,1.0,gumbel,50
simulation,0.808917032857984,0.4097421203438395,0.9801980198019802,0.8758866666666667,0.8899333333333332,0.8828541310993067,0.987539302902903,0.9638971471471472,0.9972192192192192,0.983073931931932,0.9515635135135136,0.9972192192192192,0.2347726048315975,0.2266381652254495,0.2468707441496689,0.1098,0.0254,0.8648,SeedBS_NOT,1000,1000,1.0,gumbel,50
simulation,0.946372239747634,0.946372239747634,0.946372239747634,1.0,1.0,1.0,0.9925145145145144,0.9925145145145146,0.9925145145145146,0.9924344344344342,0.9924344344344344,0.9924344344344344,0.0069639978283963,0.0064452406250666,0.0076702951254901,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,50
simulation,0.9867549668874174,0.9867549668874172,0.9867549668874172,1.0,1.0,1.0,0.9978098098098098,0.9978098098098098,0.9978098098098098,0.997807807807808,0.997807807807808,0.997807807807808,0.0001857147320028,0.0001509989501983,0.0003284819747705,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,60
simulation,0.933961883209282,0.9036144578313252,0.9523809523809524,0.8223,1.0,0.90248586950557,0.990497923923924,0.9864644644644645,0.993915915915916,0.9903265617617616,0.986066066066066,0.9938498498498498,0.0236142291093965,0.0218596177247036,0.0258576784493243,0.7108,0.0,0.2892,Aligator,1000,1000,1.0,gumbel,60
simulation,0.8376663348469432,0.3951904761904762,0.9801980198019802,0.8975299999999999,0.9129333333333334,0.9051661412640226,0.9906790834834835,0.969731981981982,0.9968749249249248,0.9867627447447448,0.9563663663663664,0.9968668668668668,0.235550462622809,0.2273280971996428,0.2472326770756126,0.1154,0.0172,0.8674,SeedBS_NOT,1000,1000,1.0,gumbel,60
simulation,0.946372239747634,0.946372239747634,0.946372239747634,1.0,1.0,1.0,0.9923643643643644,0.9923643643643644,0.9923643643643644,0.9922742742742744,0.9922742742742744,0.9922742742742744,0.0072131010011924,0.0067261472001291,0.0080305868500545,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,60
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9985645645645644,0.9985645645645644,0.9985645645645644,0.9985645645645644,0.9985645645645644,0.9985645645645644,0.0001856427307937,0.0001499569744055,0.0003365156252129,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,70
simulation,0.9259904280607708,0.9036144578313252,0.9375,0.9999,1.0,0.999949997499875,0.9885457645645646,0.9847887887887888,0.9903663663663664,0.9883498394394395,0.9844504504504504,0.9902442442442442,0.0234730508697988,0.0217076544746532,0.026001504175042,0.0004,0.0,0.9996,Aligator,1000,1000,1.0,gumbel,70
simulation,0.835065344698391,0.1939959278559615,0.9834437086092715,0.9043,0.9308666666666668,0.9173910380528564,0.9920356152152152,0.9719536036036036,0.997895895895896,0.9877851123123124,0.9543463463463464,0.997895895895896,0.2364132545876053,0.2283676968749432,0.2490488163500231,0.1472,0.0062,0.8466,SeedBS_NOT,1000,1000,1.0,gumbel,70
simulation,0.9493670886075948,0.9493670886075948,0.9493670886075948,1.0,1.0,1.0,0.9933933933933932,0.9933933933933934,0.9933933933933934,0.9933193193193192,0.9933193193193192,0.9933193193193192,0.0071874923390014,0.0066979309255657,0.0081953360504485,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,70
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9985445445445448,0.9985445445445446,0.9985445445445446,0.9985445445445448,0.9985445445445446,0.9985445445445446,0.000181170682607,0.0001464558504494,0.0003075083495332,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,80
simulation,0.9224291142846404,0.9009009009009008,0.9345794392523364,0.9807,1.0,0.9902559701115766,0.9870484528528528,0.9834554554554554,0.9895135135135136,0.9868405237237236,0.983111111111111,0.9893733733733732,0.023582433688606,0.0220657784499735,0.0260275948000526,0.0772,0.0,0.9228,Aligator,1000,1000,1.0,gumbel,80
simulation,0.7996862119085161,0.1699346405228758,0.9834437086092715,0.8850966666666668,0.9341333333333334,0.908954117462394,0.9935695443443444,0.97838988988989,0.9974534534534536,0.9872703303303304,0.9549469469469468,0.9974534534534536,0.2363272495326047,0.2282399868000084,0.2487496729002714,0.2582,0.0016,0.7402,SeedBS_NOT,1000,1000,1.0,gumbel,80
simulation,0.9433962264150944,0.9433962264150944,0.9433962264150944,1.0,1.0,1.0,0.992104104104104,0.992104104104104,0.992104104104104,0.9920120120120118,0.992012012012012,0.992012012012012,0.0072653268889967,0.0068075274003831,0.0083348475244974,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,80
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9985245245245248,0.9985245245245246,0.9985245245245246,0.9985245245245248,0.9985245245245246,0.9985245245245246,0.0001798037567952,0.0001455000001442,0.0003249999999752,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,90
simulation,0.9310428916108148,0.9090909090909092,0.946372239747634,0.99995,1.0,0.9999749993749844,0.9894675187187184,0.986186186186186,0.99192992992993,0.989299197997998,0.9858738738738738,0.991837837837838,0.0231565497734018,0.0215706392505808,0.0251452160246799,0.0002,0.0,0.9998,Aligator,1000,1000,1.0,gumbel,90
simulation,0.8229983171193862,0.1294363256784968,0.9801980198019802,0.9151766666666666,0.952,0.933225229535502,0.9895769857857856,0.97192992992993,0.997059059059059,0.9845370762762764,0.9474435935935936,0.997059059059059,0.2371598329112081,0.2287355771008378,0.2509235604245304,0.1892,0.0026,0.8082,SeedBS_NOT,1000,1000,1.0,gumbel,90
simulation,0.940438871473354,0.9404388714733544,0.9404388714733544,1.0,1.0,1.0,0.9911871871871872,0.9911871871871872,0.9911871871871872,0.9910850850850852,0.9910850850850852,0.9910850850850852,0.0073035071938036,0.0067967451003823,0.0087663214746953,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,90
simulation,0.99,0.99,0.99,1.0,1.0,1.0,0.9985045045045045,0.9985045045045045,0.9985045045045045,0.9985045045045045,0.9985045045045045,0.9985045045045045,0.0001814152529996,0.0001515409499234,0.0003006406257782,0.0,0.0,1.0,WISER,1000,1000,1.0,gumbel,100
simulation,0.9278600706416502,0.9090909090909092,0.9404388714733544,1.0,1.0,1.0,0.9882216416416416,0.984936936936937,0.9903943943943944,0.9880409941941942,0.9846526526526528,0.9902802802802804,0.0231932638483987,0.0216828492745207,0.0251072270995337,0.0,0.0,1.0,Aligator,1000,1000,1.0,gumbel,100
simulation,0.8471727129075389,0.1482965931863727,0.9801980198019802,0.9144766666666666,0.9461333333333332,0.9300356946258364,0.9938980268268268,0.9809885885885886,0.9973233233233232,0.9887160660660662,0.9486705705705706,0.9973213213213212,0.2385312762101968,0.2300617912747839,0.2529137669998135,0.1782,0.0002,0.8216,SeedBS_NOT,1000,1000,1.0,gumbel,100
simulation,0.940438871473354,0.9404388714733544,0.9404388714733544,1.0,1.0,1.0,0.9903923923923924,0.9903923923923924,0.9903923923923924,0.9902882882882884,0.9902882882882884,0.9902882882882884,0.0072095263884017,0.0066704048249448,0.0085189249999302,0.0,0.0,1.0,Waterseeker,1000,1000,1.0,gumbel,100
