model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.2392156862745098,0.23921568627450981,0.23921568627450981,1.0,1.0,1.0,0.8215711422845694,0.8215711422845692,0.8215711422845692,0.6790781563126256,0.6790781563126254,0.6790781563126254,6.736058420028712e-05,4.799897487828275e-05,9.333405109828162e-05,0.0,0.0,1.0,WISER,2,500,1.0,gumbel
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.010694014015804715,0.010024031649300014,0.01158199655055796,0.0,1.0,0.0,Aligator,2,500,1.0,gumbel
simulation,0.0005488,0.0,0.0,0.0028,0.0028,0.0028,0.43380572505010023,0.4188376753507014,0.5953907815631263,0.18455418196392784,0.1693386773547094,0.34589178356713435,0.0834872526541938,0.0813254076256726,0.08945395865002864,0.0,0.9322,0.0678,SeedBS_NOT,2,500,1.0,gumbel
simulation,0.241635687732342,0.241635687732342,0.241635687732342,1.0,1.0,1.0,0.791991983967936,0.7919919839679359,0.7919919839679359,0.6541883767535072,0.654188376753507,0.654188376753507,0.001308493097808241,0.0012528749994089594,0.001453971550654387,0.0,0.0,1.0,Waterseeker,2,500,1.0,gumbel
simulation,0.992,0.992,0.992,0.5,1.0,0.6666666666666666,0.883743486973948,0.8837434869739479,0.8837434869739479,0.8837354709418836,0.8837354709418838,0.8837354709418838,8.742432359904342e-05,6.449897500715451e-05,0.00011896217483808863,1.0,0.0,0.0,WISER,4,500,1.0,gumbel
simulation,0.00045519999999999995,0.0,0.008,0.053883333333333325,0.0604,0.05695586991395654,0.499521176753507,0.4188376753507014,0.7960801603206413,0.25024872144288574,0.1693386773547094,0.5492665330661323,0.010658364681215608,0.0099302920007176,0.0116189799003223,0.0126,0.7856,0.2018,Aligator,4,500,1.0,gumbel
simulation,0.003527105009299251,0.0,0.0,0.0142,0.0142,0.0142,0.46025463086172347,0.4188376753507014,0.5825811623246493,0.21170751262525045,0.1693386773547094,0.3335390781563127,0.08124258089679934,0.07901398580092973,0.08702368437520817,0.0,0.7492,0.2508,SeedBS_NOT,4,500,1.0,gumbel
simulation,0.32270916334661354,0.32270916334661354,0.32270916334661354,1.0,1.0,1.0,0.8202885771543086,0.8202885771543086,0.8202885771543086,0.7064929859719439,0.7064929859719439,0.7064929859719439,0.0012223577926240977,0.0011681607252739922,0.0013542236245939418,0.0,0.0,1.0,Waterseeker,4,500,1.0,gumbel
simulation,0.9960159362549803,0.9960159362549801,0.9960159362549801,1.0,1.0,1.0,0.9976032064128256,0.9976032064128256,0.9976032064128256,0.9976032064128256,0.9976032064128256,0.9976032064128256,6.861411519967078e-05,4.787397392647108e-05,9.38760249482584e-05,0.0,0.0,1.0,WISER,8,500,1.0,gumbel
simulation,0.140816,0.028,0.416,0.16213163694578556,0.9972,0.27891530466341957,0.7865665683366733,0.7448577154308618,0.8101643286573146,0.600205903006012,0.5709739478957916,0.6606653306613227,0.01049966036781916,0.009873268424644265,0.011360104900859369,0.9982,0.0,0.0018,Aligator,8,500,1.0,gumbel
simulation,0.01041994943615369,0.0,0.0,0.0173,0.0176,0.017448710601719198,0.5195349547094189,0.4188376753507014,0.8746613226452906,0.27334345010020045,0.1693386773547094,0.6407535070140281,0.07779843974919386,0.07538314934949994,0.08270266980080124,0.0006,0.737,0.2624,SeedBS_NOT,8,500,1.0,gumbel
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0005765077025942446,0.0005420420002337778,0.0006525041757868166,0.0,1.0,0.0,Waterseeker,8,500,1.0,gumbel
