model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.9739272941717049,0.8861108286731063,0.996,0.7300800000000001,1.0,0.8439840932211228,0.9204770997995991,0.7918895791583167,0.9964008016032064,0.9201260649298598,0.7898204408817635,0.9964008016032064,8.751848539968705e-05,5.0206974731281664e-05,0.00016309197516193235,0.4998,0.0,0.5002,WISER,1000,500,0.0,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011557170131202383,0.010610030525265301,0.012682263550118478,0.0,1.0,0.0,Aligator,1000,500,0.0,redgreen
simulation,0.8498375911809477,0.2159784860557769,0.996,0.7464666666666667,0.9992,0.8545382776398702,0.9249786180360723,0.7861639278557114,0.9964008016032064,0.9051698821643287,0.6531749498997996,0.9964008016032064,0.025480365237399747,0.02447478685008946,0.026878861075226714,0.5026,0.0,0.4974,SeedBS_NOT,1000,500,0.0,redgreen
simulation,0.062165959833321856,0.0,0.304,0.2519,0.254,0.25294564143111287,0.4849213659318637,0.4188376753507014,0.8169058116232465,0.2625493290581162,0.1693386773547094,0.6745933867735469,0.0006905527321980116,0.0005893750003338027,0.0011360871248825787,0.0042,0.746,0.2498,Waterseeker,1000,500,0.0,redgreen
simulation,0.9742359012459921,0.8829683122586507,0.996,0.7285533333333333,1.0,0.8429630943795005,0.9200097010020041,0.7894248496993989,0.9964008016032064,0.9196603190380762,0.788713627254509,0.9964008016032064,8.632916839760583e-05,4.920897483771114e-05,0.00015301667494895785,0.5028,0.0,0.4972,WISER,1000,500,0.1,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011548828255198805,0.01085281530016573,0.012487132299975199,0.0,1.0,0.0,Aligator,1000,500,0.1,redgreen
simulation,0.8462149708997897,0.22060594266028455,0.996,0.7458666666666666,0.9996,0.8542911007562447,0.924904928256513,0.782414629258517,0.9964008016032064,0.9047367470941885,0.6558490981963928,0.9964008016032064,0.02556545064480515,0.02458814719982456,0.02708055104992581,0.503,0.0,0.497,SeedBS_NOT,1000,500,0.1,redgreen
simulation,0.06407522766275163,0.0,0.304,0.259,0.2618,0.26039247311827957,0.48621735310621245,0.4188376753507014,0.8127196392785571,0.2646750156312625,0.1693386773547094,0.6733026052104206,0.0006778962901977138,0.0005615684250415143,0.0010969069747943639,0.0056,0.7382,0.2562,Waterseeker,1000,500,0.1,redgreen
simulation,0.9735431297376376,0.8836363636363637,0.996,0.7326699999999999,1.0,0.8457121090571199,0.9203126557114228,0.7881713426853708,0.9964008016032064,0.9199491318637274,0.7879513026052104,0.9964008016032064,8.423247519949655e-05,4.958299996360438e-05,0.00015288022491404256,0.4924,0.0,0.5076,WISER,1000,500,0.2,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011579535490801846,0.010765387900141832,0.012612210025054083,0.0,1.0,0.0,Aligator,1000,500,0.2,redgreen
simulation,0.8464479264544637,0.21142174160500854,0.996,0.7404333333333334,0.9996,0.8507160705733607,0.9232941466933867,0.7865134268537074,0.9964008016032064,0.9032210741482967,0.6544430861723446,0.9964008016032064,0.02547577039559992,0.024455516974944656,0.027027945199949954,0.5156,0.0,0.4844,SeedBS_NOT,1000,500,0.2,redgreen
simulation,0.06238068042751997,0.0,0.308,0.2528,0.2556,0.25419228953579864,0.48480768897795595,0.4188376753507014,0.8110308617234466,0.26253254669338677,0.1693386773547094,0.6730020040080159,0.000691459731600844,0.0005894149749224198,0.0011591264499429587,0.0056,0.7444,0.25,Waterseeker,1000,500,0.2,redgreen
simulation,0.9747054420471107,0.884,0.996,0.72705,1.0,0.8419559364233808,0.9204826228456914,0.7946328657314629,0.9964008016032064,0.9201414669338676,0.7937809619238476,0.9964008016032064,8.700207199972283e-05,5.016497472070114e-05,0.00016409030007480385,0.5068,0.0,0.4932,WISER,1000,500,0.30000000000000004,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.01237697154539801,0.011435854575211124,0.013384649999625253,0.0,1.0,0.0,Aligator,1000,500,0.30000000000000004,redgreen
simulation,0.8467754568187611,0.21896374373240496,0.996,0.7369,1.0,0.8485232310438138,0.9232013082164329,0.7830048096192385,0.9964008016032064,0.9032201458917836,0.6607114228456914,0.9964008016032064,0.025564560840001103,0.02449986667494386,0.028331268024987817,0.5222,0.0,0.4778,SeedBS_NOT,1000,500,0.30000000000000004,redgreen
simulation,0.0626711725118175,0.0,0.30809999999999854,0.2526,0.2552,0.2538933438361559,0.4852018388777555,0.4188376753507014,0.8095188376753507,0.263023355511022,0.1693386773547094,0.6710222444889778,0.0006712516675946972,0.0005141250003248387,0.0011553507250368963,0.0052,0.7448,0.25,Waterseeker,1000,500,0.30000000000000004,redgreen
simulation,0.9743791841558527,0.8839973782771535,0.996,0.7390233333333334,1.0,0.8499291748050151,0.9231411222444891,0.7958240480961924,0.9964008016032064,0.9227876184368737,0.794827254509018,0.9964008016032064,8.101292780265795e-05,4.891497519565746e-05,0.00014358507495444424,0.4846,0.0,0.5154,WISER,1000,500,0.4,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011452301108402844,0.010591949675074375,0.012620313874617749,0.0,1.0,0.0,Aligator,1000,500,0.4,redgreen
simulation,0.8517603180525722,0.2151394422310757,0.996,0.7415666666666666,0.9996,0.8514636240068919,0.9245304096192384,0.783508617234469,0.9964008016032064,0.9053212633266532,0.6582124248496994,0.9964008016032064,0.02611933607739693,0.025003235399833557,0.02822068782483029,0.5114,0.0,0.4886,SeedBS_NOT,1000,500,0.4,redgreen
simulation,0.05955690202052317,0.0,0.308,0.2414,0.2434,0.24239587458745876,0.48183075911823653,0.4188376753507014,0.8105402805611218,0.2583171110220441,0.1693386773547094,0.6736873747494988,0.0006855775859999994,0.0005249937499343105,0.0011568409500682711,0.004,0.7566,0.2394,Waterseeker,1000,500,0.4,redgreen
simulation,0.9741570632436753,0.8847394052044609,0.996,0.7366699999999999,1.0,0.8483707324937956,0.9218847438877754,0.7923735470941884,0.9964008016032064,0.9215404889779558,0.7910248496993988,0.9964008016032064,8.537202900279226e-05,4.96249999741849e-05,0.0001564999997867744,0.486,0.0,0.514,WISER,1000,500,0.5,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011687147494399051,0.01082389269995474,0.012740105925115583,0.0,1.0,0.0,Aligator,1000,500,0.5,redgreen
simulation,0.855266279235367,0.23107569721115537,0.996,0.7455333333333334,0.9996,0.854072414715208,0.9250705474949901,0.7847102204408817,0.9964008016032064,0.9066789386773547,0.6647959919839679,0.9964008016032064,0.025439837351797633,0.024480329875154895,0.026960104875081464,0.5046,0.0,0.4954,SeedBS_NOT,1000,500,0.5,redgreen
simulation,0.061527468681162975,0.0,0.316,0.2458,0.2486,0.24719207119741102,0.4837285771543086,0.4188376753507014,0.8071663326653307,0.26100465571142284,0.1693386773547094,0.6695907815631262,0.0006788161018010214,0.0005747006999285986,0.001183325724935001,0.0056,0.7514,0.243,Waterseeker,1000,500,0.5,redgreen
simulation,0.9736855412772085,0.8821372561939905,0.996,0.7353033333333333,1.0,0.847463747932638,0.9209342893787574,0.78999498997996,0.9964008016032064,0.9205738324649297,0.7885703406813627,0.9964008016032064,8.446680380029648e-05,4.945899991071201e-05,0.00015575729997863153,0.4904,0.0,0.5096,WISER,1000,500,0.6000000000000001,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011483491311401122,0.010830745824978293,0.012519828525148567,0.0,1.0,0.0,Aligator,1000,500,0.6000000000000001,redgreen
simulation,0.8543510929601631,0.224,0.996,0.7459666666666666,0.9998,0.8544297328776278,0.9256772328657314,0.7871975951903808,0.9964008016032064,0.9068088272545091,0.6626446893787575,0.9964008016032064,0.025494701844598785,0.02452161352503026,0.026951050374850637,0.5046,0.0,0.4954,SeedBS_NOT,1000,500,0.6000000000000001,redgreen
simulation,0.061605880610653786,0.0,0.3,0.2541,0.2556,0.2548477928193055,0.4848915174348698,0.4188376753507014,0.8106130260521041,0.26234023887775554,0.1693386773547094,0.6718156312625251,0.0006920476658036022,0.0005964169749972826,0.0011637944747121753,0.003,0.7444,0.2526,Waterseeker,1000,500,0.6000000000000001,redgreen
simulation,0.9739657948493614,0.8810365305382953,0.996,0.7340566666666667,1.0,0.8466351541760458,0.920988395991984,0.7922555110220442,0.9964008016032064,0.9206278541082163,0.791810621242485,0.9964008016032064,8.617831619994832e-05,4.9665999995340826e-05,0.00016047052475869333,0.4926,0.0,0.5074,WISER,1000,500,0.7000000000000001,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011402708310802609,0.010584248950192433,0.012548844074967746,0.0,1.0,0.0,Aligator,1000,500,0.7000000000000001,redgreen
simulation,0.8476591676530765,0.21775922859375582,0.996,0.7396666666666666,1.0,0.8503544740371719,0.9239737779559116,0.7844643286573146,0.9964008016032064,0.9040775038076152,0.6581901803607215,0.9964008016032064,0.02551069512099966,0.02454545592491968,0.02700034967502915,0.5174,0.0,0.4826,SeedBS_NOT,1000,500,0.7000000000000001,redgreen
simulation,0.0615510820671903,0.0,0.308,0.2477,0.2506,0.24914156130844872,0.4841716344689379,0.4188376753507014,0.8070022044088175,0.2615073619238477,0.1693386773547094,0.6715078156312625,0.0006821583973991437,0.0005673288497177964,0.001128985025195561,0.0058,0.7494,0.2448,Waterseeker,1000,500,0.7000000000000001,redgreen
simulation,0.9748422282986438,0.884,0.996,0.7310200000000001,1.0,0.8446118473501174,0.921246501002004,0.7928400801603206,0.9964008016032064,0.9209037643286574,0.7918176352705412,0.9964008016032064,8.6197822198028e-05,4.9792000027082395e-05,0.0001597079999669404,0.4988,0.0,0.5012,WISER,1000,500,0.8,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011604303204801908,0.010857289900309297,0.01259818542528137,0.0,1.0,0.0,Aligator,1000,500,0.8,redgreen
simulation,0.8482206261232063,0.2132564841498559,0.996,0.7350333333333333,1.0,0.8472843941518894,0.923694214028056,0.7821392785571143,0.9964008016032064,0.9039292184368737,0.6591503006012024,0.9964008016032064,0.025522011786200165,0.02449811114984186,0.026839887825371986,0.5258,0.0,0.4742,SeedBS_NOT,1000,500,0.8,redgreen
simulation,0.06150129205920416,0.0,0.312,0.2489,0.252,0.2504404072669196,0.4850883158316634,0.4188376753507014,0.8173176352705409,0.26241410501002,0.1693386773547094,0.6761529058116232,0.0006876572991969624,0.0005908298999315776,0.0011451128747467,0.0062,0.748,0.2458,Waterseeker,1000,500,0.8,redgreen
simulation,0.9740424522304449,0.88,0.996,0.7358566666666667,1.0,0.8478311381316046,0.9214805947895791,0.7905799599198396,0.9964008016032064,0.9211117098196393,0.7883476953907816,0.9964008016032064,8.454095539946138e-05,4.987500005881884e-05,0.00015089062513879957,0.4892,0.0,0.5108,WISER,1000,500,0.9,redgreen
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.011498664189997999,0.010645080924882677,0.012685224274707705,0.0,1.0,0.0,Aligator,1000,500,0.9,redgreen
simulation,0.8452346451545881,0.20318725099601595,0.996,0.73795,0.9998,0.8491467817580204,0.9236800496993987,0.7862196392785571,0.9964008016032064,0.9031457923847694,0.6532897795591183,0.9964008016032064,0.025564098322203063,0.02457858022522714,0.027253032300188804,0.5204,0.0,0.4796,SeedBS_NOT,1000,500,0.9,redgreen
simulation,0.06137100196930685,0.0,0.304,0.2521,0.2532,0.2526488026914704,0.484700256513026,0.4188376753507014,0.8183348697394788,0.2620307206412826,0.1693386773547094,0.675111623246493,0.0006716603688009854,0.000564455875087333,0.001113302074895727,0.0022,0.7468,0.251,Waterseeker,1000,500,0.9,redgreen
