model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,vocab_size,output_tokens,watermark_type,seed,delta
simulation 2,0.0,0.0,0.0,0.0,0.0,0.0,,0.327876984126984,0.3278769841269841,0.3278769841269841,0.3278769841269841,0.1790674603174602,0.17906746031746026,0.17906746031746026,0.17906746031746026,1.3757870019617258e-05,1.1060949657348828e-05,2.431407502854197e-05,0.0,1.0,0.0,1000,64,partial,1234,1.5
simulation 2,0.017020689655172415,0.0,0.0,0.0,0.02,0.02,0.02,0.3397123015873014,0.3278769841269841,0.3278769841269841,0.3278769841269841,0.19381944444444435,0.17906746031746026,0.17906746031746026,0.17906746031746026,2.2860420026518115e-05,1.135295020731064e-05,7.123712515522122e-05,0.0,0.98,0.02,1000,64,partial,1234,2.0
simulation 2,0.045396482196482194,0.0,0.0,0.6829999999999999,0.07,0.07,0.07,0.362549603174603,0.3278769841269841,0.3278769841269841,0.8472222222222222,0.22271329365079356,0.17906746031746026,0.17906746031746026,0.8333333333333334,2.1812500012856617e-05,1.1603474831645144e-05,5.7563525149362246e-05,0.0,0.93,0.07,1000,64,partial,1234,2.5
simulation 2,0.13065036685036685,0.0,0.0,0.8491452991452991,0.17,0.17,0.17,0.421830357142857,0.3278769841269841,0.3278769841269841,0.9186507936507936,0.29706349206349203,0.17906746031746026,0.17906746031746026,0.9169270833333333,2.34350499795255e-05,1.2118750009904034e-05,6.765090008684606e-05,0.0,0.83,0.17,1000,64,partial,1234,3.0
simulation 2,0.2892030024863934,0.0,0.0,0.9446225071225068,0.35,0.35,0.35,0.5304662698412698,0.3278769841269841,0.3278769841269841,0.9687499999999998,0.4315029761904763,0.17906746031746026,0.17906746031746026,0.9685143849206348,2.8254569974706102e-05,1.3218024923844495e-05,7.897657516195956e-05,0.0,0.65,0.35,1000,64,partial,1234,3.5
simulation 2,0.012991827138378861,0.0,0.0,0.1593749999999974,0.03,0.03,0.03,0.3472859251968503,0.3345226377952756,0.3345226377952756,0.5447680856299179,0.1937487696850393,0.17765748031496062,0.17765748031496062,0.43337536909448404,3.4422089979671e-05,1.2081424995358247e-05,0.0001150248249359714,0.0,0.97,0.03,1000,128,partial,1234,1.5
simulation 2,0.043850307733625,0.0,0.0,0.6284313725490193,0.08,0.08,0.08,0.371662155511811,0.3345226377952756,0.3345226377952756,0.830597933070866,0.22478592519685034,0.17765748031496062,0.17765748031496062,0.8096118356299211,2.873250003631256e-05,1.3951749940588342e-05,7.867830021268668e-05,0.0,0.92,0.08,1000,128,partial,1234,2.0
simulation 2,0.10041340623860046,0.0,0.0,0.7553921568627449,0.16,0.16,0.16,0.41396776574803146,0.3345226377952756,0.3345226377952756,0.8794937253937007,0.27844611220472437,0.17765748031496062,0.17765748031496062,0.8706723671259842,2.9797500014865364e-05,1.2745324988827634e-05,8.605504991692204e-05,0.0,0.84,0.16,1000,128,partial,1234,2.5
simulation 2,0.31015649930156175,0.0,0.0,0.9259358288770051,0.44,0.44,0.44,0.5667015255905512,0.3345226377952756,0.3345226377952756,0.9582400344488188,0.4716350885826771,0.17765748031496062,0.17765748031496062,0.95769562007874,3.449874998295854e-05,1.3771150111097086e-05,0.00010316994987533663,0.0,0.56,0.44,1000,128,partial,1234,3.0
simulation 2,0.6104945870880979,0.7306696263411024,0.0,0.9710784313725489,0.77,0.79,0.7798717948717949,0.7683833661417324,0.8561761811023623,0.3345226377952756,0.9839659202755905,0.7271370570866139,0.8503321850393701,0.17765748031496062,0.9839074803149606,4.7840870020081636e-05,1.8223800043415395e-05,0.00013160432508811922,0.04,0.21,0.75,1000,128,partial,1234,3.5
simulation 2,0.025284070478245234,0.0,0.0,0.4716019417475726,0.05,0.05,0.05000000000000001,0.36091574754901956,0.3378982843137255,0.3378982843137255,0.7855821078431372,0.20598927696078426,0.17696078431372547,0.17696078431372547,0.7410064338235293,3.188958998634916e-05,1.611669999874721e-05,7.42521001257046e-05,0.0,0.95,0.05,1000,256,partial,1234,1.5
simulation 2,0.0750485436893204,0.0,0.0,0.6458737864077669,0.14,0.14,0.14,0.4031106004901961,0.3378982843137255,0.3378982843137255,0.8355453431372548,0.2595554534313725,0.17696078431372547,0.17696078431372547,0.8154725796568627,3.421462999085634e-05,1.305569986698174e-05,9.331460005341781e-05,0.0,0.86,0.14,1000,256,partial,1234,2.0
simulation 2,0.31668348354408116,0.0,0.0,0.96626213592233,0.46,0.49,0.47452631578947374,0.5806930147058823,0.3378982843137255,0.3378982843137255,0.9030499387254901,0.4870799632352941,0.17696078431372547,0.17696078431372547,0.9002366727941176,4.2739549994621486e-05,1.8221700042886368e-05,0.00012028005008914974,0.06,0.51,0.43,1000,256,partial,1234,2.5
simulation 2,0.7016615251073164,0.7233009708737864,0.0,0.9903846153846154,0.875,0.94,0.90633608815427,0.8406973039215687,0.8506587009803921,0.3378982843137255,0.994515931372549,0.8174194240196079,0.8449295343137255,0.17696078431372547,0.994515931372549,5.187877999560442e-05,2.5342725200516726e-05,0.0001222491001499292,0.13,0.06,0.81,1000,256,partial,1234,3.0
simulation 2,0.8385315103347538,0.9077669902912622,0.4366981217675347,0.9903846153846154,0.885,0.99,0.93456,0.9014687499999998,0.8951133578431373,0.7753201593137256,0.994515931372549,0.8929874387254901,0.8947150735294118,0.7259382659313726,0.994515931372549,6.0923729956812165e-05,3.5051074826242255e-05,0.00017803522513304401,0.21,0.01,0.78,1000,256,partial,1234,3.5
