model_name,iou,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.9958691647944644,0.9920318725099602,0.996,0.9848,1.0,0.9923417976622331,0.9962348969939878,0.9931222444889779,0.9964008016032064,0.9962348681362726,0.9931222444889779,0.9964008016032064,6.954263160205301e-05,4.766697476270565e-05,0.00011400102538345889,0.0304,0.0,0.9696,WISER,1000,500,0.0,pf
simulation,0.9636989317185783,0.9578544061302682,0.9689922480620154,1.0,1.0,1.0,0.9744258308617234,0.9690340681362726,0.9785811623246493,0.9741038284569138,0.9685931863727455,0.9783567134268537,0.011423437401000228,0.01063996249996535,0.012500065299775539,0.0,0.0,1.0,Aligator,1000,500,0.0,pf
simulation,0.8757278540565385,0.26294820717131473,0.996,0.8688,1.0,0.9297945205479452,0.9597210629258518,0.8337314629258517,0.9964008016032064,0.9451156488977956,0.7593026052104208,0.9964008016032064,0.05620106016819918,0.05213657885002476,0.06108838959988815,0.2616,0.0,0.7384,SeedBS_NOT,1000,500,0.0,pf
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0006704568830006792,0.0005617500000766995,0.0011522104253003805,0.0,1.0,0.0,Waterseeker,1000,500,0.0,pf
simulation,0.9958619405817349,0.9920318725099602,0.996,0.983,1.0,0.9914271306101865,0.9961951967935871,0.9931222444889779,0.9964008016032064,0.9961951887775551,0.9931222444889779,0.9964008016032064,6.742906899798981e-05,4.7250000079657184e-05,0.0001078476001225679,0.034,0.0,0.966,WISER,1000,500,0.1,pf
simulation,0.9636788902851838,0.9578544061302682,0.9689922480620154,1.0,1.0,1.0,0.9744099382765531,0.9690340681362726,0.9785811623246493,0.9740875446893787,0.9685931863727455,0.9783567134268537,0.011444633825201072,0.010640851424841457,0.012481107675182554,0.0,0.0,1.0,Aligator,1000,500,0.1,pf
simulation,0.8761975272704458,0.264,0.996,0.8662,1.0,0.9283035044475404,0.9591105074148297,0.8334749498997995,0.9964008016032064,0.9448580953907816,0.7607669338677355,0.9964008016032064,0.056261709483796586,0.0522905774002993,0.061145147599859215,0.2666,0.0,0.7334,SeedBS_NOT,1000,500,0.1,pf
simulation,0.0,0.0,0.0,0.0,0.0,,0.4188376753507015,0.4188376753507014,0.4188376753507014,0.1693386773547094,0.1693386773547094,0.1693386773547094,0.0006853766288003499,0.0005879958498894666,0.0012177851002320482,0.0,1.0,0.0,Waterseeker,1000,500,0.1,pf
simulation,0.9958643967428614,0.9920318725099602,0.996,0.9841,1.0,0.9919862910135577,0.9962023326653306,0.9931222444889779,0.9964008016032064,0.9962023054108217,0.9931222444889779,0.9964008016032064,7.003591460206736e-05,4.845897502718799e-05,0.00011762500025724876,0.0318,0.0,0.9682,WISER,1000,500,0.2,pf
simulation,0.9636885481597441,0.9578544061302682,0.9689922480620154,1.0,1.0,1.0,0.9744201314629259,0.9690340681362726,0.9785811623246493,0.9740979238476953,0.9685931863727455,0.9783567134268537,0.011470724097998573,0.01073932564994493,0.012481390625293895,0.0,0.0,1.0,Aligator,1000,500,0.2,pf
