model_name,iou,precision,recall,f1,rand_index,modified_rand_index,method,vocab_size,output_tokens,ar_coeff,data_gen_type
simulation,0.9960000000000002,1.0,1.0,1.0,0.9964008016032065,0.9964008016032065,WISER,1000,500,0.0,gumbel
simulation,0.9653415274526488,1.0,1.0,1.0,0.976353141482966,0.9760661098196389,Aligator,1000,500,0.0,gumbel
simulation,0.9023850880321236,0.9138,0.9996,0.9547762935089369,0.9646254589178356,0.9533569811623249,SeedBS_NOT,1000,500,0.0,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.0,gumbel
simulation,0.9960000000000002,1.0,1.0,1.0,0.9964008016032065,0.9964008016032065,WISER,1000,500,0.1,gumbel
simulation,0.9653445204117089,1.0,1.0,1.0,0.9763560529058117,0.97606907254509,Aligator,1000,500,0.1,gumbel
simulation,0.9008022565737052,0.9109,0.9998,0.9532818548176061,0.9640145250501002,0.9525404200400802,SeedBS_NOT,1000,500,0.1,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.1,gumbel
simulation,0.9960008000000001,1.0,1.0,1.0,0.9964015214428856,0.9964015214428856,WISER,1000,500,0.2,gumbel
simulation,0.9653467651813955,1.0,1.0,1.0,0.9763579719438876,0.9760710300601201,Aligator,1000,500,0.2,gumbel
simulation,0.9026045154311885,0.914,1.0,0.9550679205851619,0.9644140857715433,0.9530868376753507,SeedBS_NOT,1000,500,0.2,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.2,gumbel
simulation,0.9960008000000001,1.0,1.0,1.0,0.9964015214428856,0.9964015214428856,WISER,1000,500,0.30000000000000004,gumbel
simulation,0.9653467594255759,1.0,1.0,1.0,0.9763577042084167,0.9760707639278556,Aligator,1000,500,0.30000000000000004,gumbel
simulation,0.9001425526763142,0.9114333333333332,0.9986,0.9530276888710494,0.9636341851703408,0.9519053018036073,SeedBS_NOT,1000,500,0.30000000000000004,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.30000000000000004,gumbel
simulation,0.9960000063745021,0.9999,1.0,0.999949997499875,0.9963859543086171,0.9963859543086171,WISER,1000,500,0.4,gumbel
simulation,0.9653452571566317,1.0,1.0,1.0,0.9763562452905812,0.9760692809619237,Aligator,1000,500,0.4,gumbel
simulation,0.9003030911030692,0.9133333333333332,0.9998,0.9546126772833398,0.9637668569138277,0.9519660408817635,SeedBS_NOT,1000,500,0.4,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.4,gumbel
simulation,0.9960008000000001,1.0,1.0,1.0,0.9964015214428856,0.9964015214428856,WISER,1000,500,0.5,gumbel
simulation,0.9653534821558076,1.0,1.0,1.0,0.976364248496994,0.9760774268537072,Aligator,1000,500,0.5,gumbel
simulation,0.8965669625121562,0.909,0.9988,0.9517865604361045,0.9632253274549097,0.9509061947895793,SeedBS_NOT,1000,500,0.5,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.5,gumbel
simulation,0.9960008000000001,1.0,1.0,1.0,0.9964015214428856,0.9964015214428856,WISER,1000,500,0.6000000000000001,gumbel
simulation,0.9653459995901856,1.0,1.0,1.0,0.9763569699398796,0.9760700200400799,Aligator,1000,500,0.6000000000000001,gumbel
simulation,0.9002047745553043,0.9133,0.9994,0.9544121085376692,0.9639006525050099,0.9522179046092184,SeedBS_NOT,1000,500,0.6000000000000001,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.6000000000000001,gumbel
simulation,0.9960016000000004,1.0,1.0,1.0,0.9964022412825653,0.9964022412825653,WISER,1000,500,0.7000000000000001,gumbel
simulation,0.9653497581404558,1.0,1.0,1.0,0.9763611478957916,0.976074257314629,Aligator,1000,500,0.7000000000000001,gumbel
simulation,0.8995397400725457,0.9121666666666666,0.9994,0.9537929098296336,0.9637544240480962,0.9518267382765531,SeedBS_NOT,1000,500,0.7000000000000001,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.7000000000000001,gumbel
simulation,0.9960000000000002,1.0,1.0,1.0,0.9964008016032065,0.9964008016032065,WISER,1000,500,0.8,gumbel
simulation,0.9653445145887006,1.0,1.0,1.0,0.9763557851703408,0.9760688064128255,Aligator,1000,500,0.8,gumbel
simulation,0.8968532656395594,0.9107333333333332,0.9992,0.9529178121400398,0.9634028120240482,0.9509979703406815,SeedBS_NOT,1000,500,0.8,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.8,gumbel
simulation,0.9960000000000002,1.0,1.0,1.0,0.9964008016032065,0.9964008016032065,WISER,1000,500,0.9,gumbel
simulation,0.9653490041280738,1.0,1.0,1.0,0.9763601523046093,0.9760732505010019,Aligator,1000,500,0.9,gumbel
simulation,0.8982919203187252,0.9101666666666668,0.9992,0.952607531293099,0.9630123671342686,0.950995929458918,SeedBS_NOT,1000,500,0.9,gumbel
simulation,0.0,0.0,0.0,,0.4188376753507015,0.1693386773547094,Waterseeker,1000,500,0.9,gumbel
